"","city","township","village","fullname","Nb","Nr","Nt"
"145","桃園市","桃園區","成功里","桃園市桃園區成功里",1,1,1
"146","桃園市","桃園區","忠義里","桃園市桃園區忠義里",27,15.5168,13
"147","桃園市","桃園區","長安里","桃園市桃園區長安里",6.25,7.8097,6
"148","桃園市","桃園區","青溪里","桃園市桃園區青溪里",18.6667,13.0012,11
"149","桃園市","桃園區","南門里","桃園市桃園區南門里",8,11.6675,8
"150","桃園市","桃園區","春日里","桃園市桃園區春日里",12.3846,16.2871,13
"151","桃園市","桃園區","慈文里","桃園市桃園區慈文里",7,7.7636,7
"152","桃園市","桃園區","萬壽里","桃園市桃園區萬壽里",3,2.2857,3
"153","桃園市","桃園區","寶山里","桃園市桃園區寶山里",2,2.1111,2
"154","桃園市","新屋區","大坡里","桃園市新屋區大坡里",21,31.057,21
"155","桃園市","新屋區","望間里","桃園市新屋區望間里",24,22.7838,24
"156","桃園市","新屋區","清華里","桃園市新屋區清華里",42,59.9661,42
"157","桃園市","新屋區","新生里","桃園市新屋區新生里",13,14.3628,13
"158","桃園市","龜山區","公西里","桃園市龜山區公西里",23.2222,31.2662,27
"159","桃園市","龜山區","兔坑里","桃園市龜山區兔坑里",157.3,91.2623,60
"160","桃園市","龜山區","幸福里","桃園市龜山區幸福里",31.5,18.8363,19
"161","桃園市","龜山區","南美里","桃園市龜山區南美里",23.2,30.3451,24
"162","桃園市","龜山區","龍壽里","桃園市龜山區龍壽里",50.6296,62.9303,47
"163","高雄市","三民區","千北里","高雄市三民區千北里",2,2,2
"164","高雄市","三民區","安生里","高雄市三民區安生里",42,16.7368,16
"165","高雄市","三民區","裕民里","高雄市三民區裕民里",9,8.8598,9
"166","高雄市","三民區","鼎強里","高雄市三民區鼎強里",47,17.1572,11
"167","高雄市","三民區","灣復里","高雄市三民區灣復里",1,1,1
"168","高雄市","大樹區","久堂里","高雄市大樹區久堂里",4,4.6954,4
"169","高雄市","大樹區","大坑里","高雄市大樹區大坑里",53,15.3337,11
"170","高雄市","大樹區","檨腳里","高雄市大樹區檨腳里",13,15.8907,13
"171","高雄市","內門區","內門里","高雄市內門區內門里",152,25.2564,19
"172","高雄市","內門區","內南里","高雄市內門區內南里",53,26.4129,22
"173","高雄市","左營區","尾北里","高雄市左營區尾北里",88.1765,66.903,51
"174","高雄市","左營區","新上里","高雄市左營區新上里",89,33.071,26
"175","高雄市","左營區","聖南里","高雄市左營區聖南里",2,3.2507,2
"176","高雄市","永安區","永華里","高雄市永安區永華里",145.6,88.8313,71
"177","高雄市","永安區","新港里","高雄市永安區新港里",151.75,91.7018,91
"178","高雄市","杉林區","大愛里","高雄市杉林區大愛里",30,39.9265,30
