,names,country,town,village,y_bar,x_bar,cof1,cof2,Nb,Nr,Nt
120,劉家君,桃園市,八德區,大安里,8.2,20.6,13.32379135,-0.2487,41,53.5737,41
121,劉家君,桃園市,八德區,大智里,1.6,3.6,2.120481928,-0.1446,8,14.6645,8
122,李艾霓,桃園市,八德區,高城里,2.2,6.2,4.205882353,-0.3235,44,13.0012,11
123,劉家君,桃園市,八德區,福興里,5.4,12.2,7.580502216,-0.1787,27,42.4203,27
124,劉家君,桃園市,八德區,廣興里,6.4,16.2,10.87158703,-0.276,32,39.3898,32
125,劉家君,桃園市,大園區,圳頭里,9.2,23.8,16.69400071,-0.3149,46,53.0137,46
126,劉家君,桃園市,大園區,南港里,9,21.6,13.14276184,-0.1918,45,68.5233,45
127,劉家君,桃園市,大園區,溪海里,8.8,21.4,12.9569568,-0.1943,44,66.6853,44
128,劉家君,桃園市,大溪區,田心里,3,8,5.084507042,-0.2606,41.5,19.5108,15
129,劉家君,桃園市,大溪區,南興里,5,10.4,5.676579926,-0.0651,25,87.1978,25
130,劉家君,桃園市,大溪區,僑愛里,2,6,4.272727273,-0.3788,10,11.2796,10
131,劉家君,桃園市,大溪區,興和里,2.6,5.8,3.469055375,-0.1498,13,23.1579,13
132,劉家君,桃園市,中壢區,中正里,1,2.6,1.928571429,-0.3571,13,5.4006,5
133,李艾霓,桃園市,中壢區,石頭里,1,3.2,2.361702128,-0.4255,5,5.5504,5
134,劉家君,桃園市,中壢區,自信里,1.2,2.4,1.454545455,-0.1061,6,13.7092,6
135,劉家君,桃園市,中壢區,忠孝里,2.4,5.6,3.720207254,-0.2358,12,15.777,12
136,李艾霓,桃園市,中壢區,金華里,2.2,6.6,4.627403846,-0.3678,49,12.5813,11
137,李艾霓,桃園市,中壢區,普仁里,0.2,0.8,1,-1,1,1,1
138,李艾霓,桃園市,平鎮區,新榮里,1.4,3.8,2.634020619,-0.3247,7,8.1122,7
139,劉家君,桃園市,平鎮區,廣仁里,3.4,11.6,11.67108168,-0.713,17,16.369,17
140,劉家君,桃園市,平鎮區,廣興里,1.2,3.6,3.1875,-0.5521,6,5.7734,6
141,李艾霓,桃園市,平鎮區,龍興里,0.4,0.8,1,-0.75,2,1.3333,2
142,劉家君,桃園市,平鎮區,雙連里,11.4,26.8,15.82333418,-0.165,57,95.899,57
143,劉家君,桃園市,桃園區,文明里,0.4,1.2,1,-0.5,2,2,2
144,劉家君,桃園市,桃園區,民生里,1.4,3.6,2.352941176,-0.2647,7,8.8891,7
145,李艾霓,桃園市,桃園區,成功里,0.2,0.6,0.5,-0.5,1,1,1
146,李艾霓,桃園市,桃園區,忠義里,2.6,7.6,5.095709571,-0.3284,27,15.5168,13
147,李艾霓,桃園市,桃園區,長安里,1.2,2.8,1.666666667,-0.1667,6.25,9.998,6
148,李艾霓,桃園市,桃園區,青溪里,2.2,6.2,4.205882353,-0.3235,18.6667,13.0012,11
149,劉家君,桃園市,桃園區,南門里,1.6,3.2,1.791044776,-0.0597,8,30.0008,8
150,李艾霓,桃園市,桃園區,春日里,2.6,6.2,3.714285714,-0.1797,12.3846,20.6694,13
151,李艾霓,桃園市,桃園區,慈文里,1.4,3.4,2.490566038,-0.3208,7,7.7636,7
152,劉家君,桃園市,桃園區,萬壽里,0.6,1.6,2,-0.875,3,2.2857,3
153,李艾霓,桃園市,桃園區,寶山里,0.4,1.4,1.1875,-0.5625,2,2.1111,2
154,劉家君,桃園市,新屋區,大坡里,4.2,10.4,6.313893654,-0.2033,21,31.057,21
155,李艾霓,桃園市,新屋區,望間里,4.8,13.4,11.65390505,-0.5115,24,22.7838,24
156,劉家君,桃園市,新屋區,清華里,8.4,21.2,12.99464359,-0.2167,42,59.9661,42
157,劉家君,桃園市,新屋區,新生里,2.6,8.4,6.262195122,-0.436,13,14.3628,13
158,李艾霓,桃園市,龜山區,公西里,5.4,15.4,10.6398917,-0.3403,23.2222,31.2662,27
159,李艾霓,桃園市,龜山區,兔坑里,10,31.16666667,15.18603873,-0.1664,60,91.2623,60
160,李艾霓,桃園市,龜山區,幸福里,3.8,10.4,8.483870968,-0.4504,31.5,18.8363,19
161,李艾霓,桃園市,龜山區,南美里,4.8,10.8,6.508245877,-0.1582,23.2,41.1394,24
162,李艾霓,桃園市,龜山區,龍壽里,9.4,20.6,12.05414582,-0.1288,50.6296,93.5881,47
163,侯湘葶,高雄市,三民區,千北里,0.4,1.2,1,-0.5,2,2,2
164,侯湘葶,高雄市,三民區,安生里,3.2,10,7.95,-0.475,42,16.7368,16
165,侯湘葶,高雄市,三民區,裕民里,1.8,5.4,4.609756098,-0.5203,9,8.8598,9
166,范馨予,高雄市,三民區,鼎強里,2.2,3.8,2.466183575,-0.07,47,35.2312,11
167,范馨予,高雄市,三民區,灣復里,0.2,0.6,0.5,-0.5,1,1,1
168,李泓哲,高雄市,大樹區,久堂里,0.8,2.4,1.636363636,-0.3485,4,4.6954,4
169,侯湘葶,高雄市,大樹區,大坑里,2.2,5.2,3.328947368,-0.2171,53,15.3337,11
170,范馨予,高雄市,大樹區,檨腳里,2.6,6.8,4.544747082,-0.286,13,15.8907,13
171,李泓哲,高雄市,內門區,內門里,3.8,8.6,4.888337469,-0.1266,19,38.6125,19
172,范馨予,高雄市,內門區,內南里,4.4,10.4,7.258278146,-0.2748,53,26.4129,22
173,范馨予,高雄市,左營區,尾北里,10.2,23.6,13.55784724,-0.1423,88.1765,95.2765,51
174,侯湘葶,高雄市,左營區,新上里,5.2,13.8,8.922557173,-0.2698,89,33.071,26
175,范馨予,高雄市,左營區,聖南里,0.4,0.6,0.4375,-0.0625,2,7,2
176,范馨予,高雄市,永安區,永華里,11.83333333,40,21.52382292,-0.2423,71,88.8313,71
177,范馨予,高雄市,永安區,新港里,18.2,53,43.12733645,-0.4703,91,91.7018,91
178,范馨予,高雄市,杉林區,大愛里,6,16,10.01355932,-0.2508,30,39.9265,30
179,李泓哲,高雄市,杉林區,月美里,4.8,11.2,6.369645043,-0.1401,24,45.465,24
180,范馨予,高雄市,林園區,中厝里,6.2,16.4,11.47504206,-0.3216,31.1875,35.6811,31
181,侯湘葶,高雄市,林園區,東汕里,3,8.2,5.715231788,-0.3311,16.8,17.2613,15
182,范馨予,高雄市,林園區,頂厝里,2.6,7.6,6.334763948,-0.4914,29,12.8913,13
183,范馨予,高雄市,前金區,文東里,0,0,0,NA,0,0,0
184,李泓哲,高雄市,前鎮區,明孝里,8.6,29,23.33149492,-0.508,53.4,45.9281,43
185,侯湘葶,高雄市,前鎮區,振興里,2,5,4.236842105,-0.4474,9.25,9.4699,10
186,侯湘葶,高雄市,前鎮區,瑞北里,1,3.8,4.031914894,-0.7979,5,5.0532,5
187,侯湘葶,高雄市,前鎮區,瑞昌里,1.4,4.4,3.891566265,-0.5663,7.3333,6.8719,7
188,范馨予,高雄市,前鎮區,鎮昌里,2.4,4.2,2.993670886,-0.1414,12,21.1716,12
189,侯湘葶,高雄市,美濃區,中壇里,4.6,10.6,6.068471338,-0.1385,23,43.8157,23
190,范馨予,高雄市,美濃區,清水里,2.6,7.4,4.847315436,-0.3037,38,15.9609,13
