COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF01_C1,LINF01_C2,LINF01_C3,LINF01_C4,LINF01_C5,LINF01_C6,LINF01_C7,LINF01_C8,LINF01_C9,LINF01_C10,LINF01_C11,LINF01_C12,LINF02_T,LINF02_C1,LINF02_C2,LINF02_C3,LINF02_C4,LINF02_C5,LINF02_C6,LINF02_C7,LINF02_C8,LINF02_C9,LINF02_C10,LINF02_C11,LINF02_C12,LINF03_T,LINF03_C1,LINF03_C2,LINF03_C3,LINF03_C4,LINF03_C5,LINF03_C6,LINF03_C7,LINF03_C8,LINF03_C9,LINF03_C10,LINF03_C11,LINF03_C12,LINF04_T,LINF04_C1,LINF04_C2,LINF04_C3,LINF04_C4,LINF04_C5,LINF04_C6,LINF04_C7,LINF04_C8,LINF04_C9,LINF04_C10,LINF04_C11,LINF04_C12,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位面積建物型態總計,不含車位面積公寓,不含車位面積透天厝,不含車位面積店面(店舖),不含車位面積辦公商業大樓,不含車位面積住宅大樓,不含車位面積華廈,不含車位面積套房,不含車位面積工廠,不含車位面積廠辦,不含車位面積農舍,不含車位面積倉庫,不含車位面積其他,不含車位中位數房價建物型態總計,不含車位中位數房價公寓,不含車位中位數房價透天厝,不含車位中位數房價店面(店舖),不含車位中位數房價辦公商業大樓,不含車位中位數房價住宅大樓,不含車位中位數房價華廈,不含車位中位數房價套房,不含車位中位數房價工廠,不含車位中位數房價廠辦,不含車位中位數房價農舍,不含車位中位數房價倉庫,不含車位中位數房價其他,含車位面積建物型態總計,含車位面積公寓,含車位面積透天厝,含車位面積店面(店舖),含車位面積辦公商業大樓,含車位面積住宅大樓,含車位面積華廈,含車位面積套房,含車位面積工廠,含車位面積廠辦,含車位面積農舍,含車位面積倉庫,含車位面積其他,含車位中位數房價建物型態總計,含車位中位數房價公寓,含車位中位數房價透天厝,含車位中位數房價店面(店舖),含車位中位數房價辦公商業大樓,含車位中位數房價住宅大樓,含車位中位數房價華廈,含車位中位數房價套房,含車位中位數房價工廠,含車位中位數房價廠辦,含車位中位數房價農舍,含車位中位數房價倉庫,含車位中位數房價其他,資料時間
65000,新北市,65000260,貢寮區,95.94,66.8,29.14,0,0,0,0,0,0,0,0,0,0,1700000,1600000,1800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"109Y3S"
65000,新北市,65000270,金山區,1029.69,230.21,180.73,0,0,469.03,134.78,14.94,0,0,0,0,0,5650000,3000000,8900000,0,0,7550000,4675000,1600000,0,0,0,0,0,298.31,0,63.17,0,0,42.69,192.45,0,0,0,0,0,0,7325000,0,13890000,0,0,3500000,7325000,0,0,0,0,0,0,"109Y3S"
65000,新北市,65000280,萬里區,1139.59,719.31,72.9,0,0,226.45,97.18,23.74,0,0,0,0,0,1040000,750000,3407500,0,0,1645000,1800000,1120000,0,0,0,0,0,59.41,0,0,0,0,59.41,0,0,0,0,0,0,0,1600000,0,0,0,0,1600000,0,0,0,0,0,0,0,"109Y3S"
65000,新北市,65000290,烏來區,21.33,21.33,0,0,0,0,0,0,0,0,0,0,0,2500000,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"109Y3S"
63000,臺北市,63000010,松山區,11856.99,3397.35,77.51,0,123.19,5777.57,2432.74,25.22,0,0,0,0,23.4,18800000,17250000,30640500,0,38000000,19116666,20680000,9400000,0,0,0,0,16800000,2919.25,13.91,0,0,0,2326.0,554.76,24.57,0,0,0,0,0,35500000,9160000,0,0,0,39750000,31830000,12000000,0,0,0,0,0,"109Y3S"
63000,臺北市,63000020,信義區,11089.84,4438.01,120.07,0,42.2,3825.79,2663.77,0,0,0,0,0,0,16907400,15200000,45000000,0,15465000,22250000,20880000,0,0,0,0,0,0,5099.61,12.65,1125.96,0,0,3035.32,925.69,0,0,0,0,0,0,33930000,7000000,59750055,0,0,30100000,19950000,0,0,0,0,0,0,"109Y3S"
63000,臺北市,63000030,大安區,17641.08,3588.68,31.92,0,0,9150.32,4846.57,23.58,0,0,0,0,0,26040000,20500000,30350000,0,0,28900000,28100000,9600000,0,0,0,0,0,5082.71,0,0,0,0,2996.57,2086.14,0,0,0,0,0,0,49000000,0,0,0,0,54333332,45650000,0,0,0,0,0,0,"109Y3S"
63000,臺北市,63000040,中山區,25895.18,2959.09,736.07,0,111.93,17040.32,4905.29,142.48,0,0,0,0,0,15390000,14750000,51900000,0,31375000,17880000,11600000,5750000,0,0,0,0,0,7554.67,0,0,0,0,4793.8,2722.11,17.29,0,0,0,0,21.47,23425000,0,0,0,0,31800000,22500000,10800000,0,0,0,0,14580000,"109Y3S"
63000,臺北市,63000050,中正區,9988.8,1740.51,34.55,0,52.19,5545.71,2579.09,36.75,0,0,0,0,0,18625000,18000000,12000000,0,24095000,19580000,19030000,11300000,0,0,0,0,0,2593.48,41.37,0,0,0,2398.05,154.06,0,0,0,0,0,0,27200000,26500000,0,0,0,27850000,27200000,0,0,0,0,0,0,"109Y3S"
63000,臺北市,63000060,大同區,6958.49,1556.54,692.03,24.42,0,3137.07,1536.73,11.71,0,0,0,0,0,12800000,10000000,16980000,30600000,0,14440000,13790000,7600000,0,0,0,0,0,2772.81,0,78.69,0,0,1715.5,978.62,0,0,0,0,0,0,31900000,0,48000000,0,0,32800000,27380000,0,0,0,0,0,0,"109Y3S"
